Age     Sea_Level  d18o
32550	-83	   0.68
32833	-84	   0.69
33117	-79	   0.65
33400	-80	   0.65
33683	-85	   0.7
33967	-87	   0.71
34250	-87	   0.71
34533	-84	   0.69
34817	-84	   0.69
35100	-83	   0.68
35383	-82	   0.67
35667	-78	   0.64
35950	-77	   0.63
36233	-78	   0.64
36517	-77	   0.63
36800	-76	   0.62
36919	-77	   0.63
37038	-78	   0.64
37158	-80	   0.65
37277	-82	   0.68
37396	-80	   0.66
37515	-80	   0.66
37635	-79	   0.64
37754	-76	   0.62
37873	-74	   0.61
37992	-71	   0.58
38112	-64	   0.53
38231	-64	   0.53
38350	-64	   0.53
38576	-67	   0.55
38801	-71	   0.58
39027	-74	   0.6
39253	-72	   0.59
39479	-75	   0.61
39704	-80	   0.66
39930	-83	   0.68
40156	-87	   0.71
40381	-91	   0.74
40607	-92	   0.76
40833	-96	   0.78
41058	-94	   0.77
41284	-93	   0.76
41510	-90	   0.74
41736	-86	   0.7
41961	-87	   0.71
42187	-87	   0.71
42413	-87	   0.72
42638	-85	   0.7
42864	-83	   0.68
43090	-83	   0.68
43315	-82	   0.67
43541	-83	   0.68
43767	-81	   0.66
43993	-76	   0.62
44218	-72	   0.59
44444	-64	   0.53
44670	-66	   0.54
44895	-68	   0.56
45121	-73	   0.59
45347	-73	   0.59
45572	-73	   0.6
45798	-75	   0.61
46024	-74	   0.61
46250	-72	   0.59
46475	-70	   0.57
46701	-68	   0.56
46927	-65	   0.53
47152	-58	   0.48
47378	-57	   0.47
47659	-63	   0.52
47940	-66	   0.54
48221	-66	   0.54
48502	-67	   0.55
48783	-74	   0.61
49064	-73	   0.6
49345	-71	   0.58
49626	-70	   0.57
49907	-69	   0.57
50188	-71	   0.58
50469	-73	   0.6
50750	-76	   0.62
51031	-77	   0.63
51311	-77	   0.63
51592	-77	   0.63
51873	-75	   0.61
52154	-74	   0.6
52435	-73	   0.6
52716	-72	   0.59
52997	-71	   0.58
53278	-69	   0.56
53559	-69	   0.56
53840	-66	   0.54
54121	-65	   0.53
54402	-66	   0.54
54683	-62	   0.51
54849	-65	   0.53
55014	-68	   0.56
55180	-71	   0.58
55346	-76	   0.62
55512	-78	   0.64
55677	-79	   0.64
55843	-82	   0.67
56009	-83	   0.68
56175	-83	   0.68
56340	-83	   0.68
56506	-81	   0.66
56672	-79	   0.65
56838	-79	   0.64
57003	-77	   0.63
57169	-76	   0.62
57335	-75	   0.62
57500	-75	   0.61
